row_num_1,Timestamp,Source IP Address,Destination IP Address,Source Port,Destination Port,Protocol,Packet Length,Packet Type,Traffic Type,Payload Data,Malware Indicators,Anomaly Scores,Alerts/Warnings,Attack Type,Attack Signature,Action Taken,Severity Level,User Information,Device Information,Network Segment,Geo-location Data,Proxy Information,Firewall Logs,IDS/IPS Alerts,Log Source,Invalid Columns
92,2020-08-08 23:19:34,88.204.79.6,64.153.177.110,16224,48472,UDP,889,Control,HTTP,Provident omnis aut autem impedit architecto. Enim mollitia aliquid fugiat tempora. Maiores a perferendis totam natus. Iusto rerum saepe natus sint eaque temporibus.,IoC Detected,14.56,,Malware,Known Pattern B,Blocked,Medium,Armaan Thaker,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; bg-BG) AppleWebKit/531.43.2 (KHTML, like Gecko) Version/4.0.5 Mobile/8B115 Safari/6531.43.2",Segment C,"Vijayanagaram, Sikkim",94.34.21.82,Log Data,,Firewall,Destination IP Address (RBL)
97,2021-12-31 11:46:47,92.192.73.229,72.77.74.9,12215,50585,TCP,640,Control,HTTP,Facere dicta magni corrupti magnam. Aliquam est ex maiores temporibus dolore esse. Expedita consectetur cum. Nisi nobis consequatur nulla voluptatibus quam esse.,,10.44,Alert Triggered,Intrusion,Known Pattern A,Blocked,Medium,Vedika Bawa,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_1 rv:5.0; ne-NP) AppleWebKit/532.19.1 (KHTML, like Gecko) Version/5.0.5 Safari/532.19.1",Segment C,"Maheshtala, Chhattisgarh",,Log Data,Alert Data,Server,Source IP Address (RBL)
115,2023-08-19 16:40:19,90.212.23.56,68.159.228.93,51523,35455,TCP,425,Control,DNS,Similique aperiam dolorum quae debitis quia deleniti tempore. Reprehenderit similique voluptatum cum fugiat labore maiores. Magni suscipit harum in.,,98.62,,DDoS,Known Pattern A,Logged,High,Tanya Char,Mozilla/5.0 (Android 4.3.1; Mobile; rv:64.0) Gecko/64.0 Firefox/64.0,Segment A,"Muzaffarnagar, Maharashtra",,,Alert Data,Firewall,Destination IP Address (RBL)
138,2022-07-28 12:21:47,123.195.89.57,91.194.147.130,51862,11423,UDP,1347,Data,DNS,Earum a laudantium ex maxime cumque. Culpa non vero unde recusandae vel eligendi. Dolorem corrupti quibusdam quod harum dolorum modi nobis.,,81.66,Alert Triggered,DDoS,Known Pattern A,Blocked,High,Devansh Chawla,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_5_2; rv:1.9.2.20) Gecko/6720-07-18 17:32:15 Firefox/3.6.6,Segment B,"Gwalior, Goa",193.72.233.156,,,Firewall,Source IP Address (RBL)
140,2021-08-22 15:05:02,89.77.186.73,206.207.48.46,42812,8453,ICMP,591,Control,DNS,Dolor voluptatem fuga vel eligendi repellat. Quasi quas amet ex porro fugit fugit. Ipsa veritatis neque dolor totam praesentium dignissimos. Labore est voluptate. Placeat commodi ad.,IoC Detected,1.19,,Intrusion,Known Pattern A,Logged,Low,Nitya Jayaraman,Mozilla/5.0 (compatible; MSIE 5.0; Windows CE; Trident/5.0),Segment A,"Dharmavaram, Jharkhand",203.195.190.10,,,Firewall,Device Information (Suspect Bot)
142,2021-06-03 18:53:00,31.216.17.77,5.35.109.169,5626,53262,UDP,226,Control,FTP,Magni repellat quibusdam esse totam aspernatur. Exercitationem dolores sint illo sequi commodi.,,46.97,Alert Triggered,DDoS,Known Pattern B,Logged,Low,Manikya Dasgupta,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; is-IS) AppleWebKit/531.36.7 (KHTML, like Gecko) Version/3.0.5 Mobile/8B119 Safari/6531.36.7",Segment B,"Sultan Pur Majra, Arunachal Pradesh",68.233.131.197,,,Firewall,Destination IP Address (RBL)
158,2020-06-08 07:02:00,203.33.240.253,56.220.194.14,15241,28035,TCP,418,Data,HTTP,Magnam corporis facilis. Repellat aspernatur temporibus fugiat hic accusantium cum.,IoC Detected,87.11,,DDoS,Known Pattern B,Blocked,Medium,Lakshay Gaba,"Mozilla/5.0 (Windows 95) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/43.0.883.0 Safari/535.1",Segment A,"Danapur, Telangana",79.7.195.74,,Alert Data,Server,Destination IP Address (RBL)
171,2020-12-23 16:47:04,157.38.225.119,111.141.97.180,19944,51870,TCP,587,Control,DNS,Impedit natus ex. Asperiores non recusandae ad ad quas in sequi. Occaecati nesciunt eveniet repellendus tenetur. Numquam quam molestias explicabo consequatur quasi.,IoC Detected,53.08,Alert Triggered,DDoS,Known Pattern B,Blocked,Low,Reyansh Verma,Mozilla/5.0 (compatible; MSIE 6.0; Windows 98; Trident/4.1),Segment A,"Mumbai, Gujarat",,,Alert Data,Server,Source IP Address (RBL)
178,2021-01-28 02:27:50,74.216.222.94,138.230.84.186,9697,19057,TCP,574,Data,FTP,Mollitia odio amet inventore autem natus. Temporibus alias quo esse consequatur. Aperiam nam officiis. Reiciendis aut voluptate qui ipsa.,IoC Detected,68.95,,DDoS,Known Pattern A,Ignored,High,Ela Sandal,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.1; Trident/4.1),Segment B,"Bhiwandi, Nagaland",,Log Data,Alert Data,Server,Device Information (Suspect Bot)
192,2022-02-22 05:36:14,95.188.115.128,110.174.196.227,47307,22903,ICMP,283,Data,FTP,Magni quod explicabo dolorum. In quod reiciendis incidunt labore molestiae ad. Fugit animi accusamus itaque accusamus nulla. Sequi autem aut dolor unde id.,,43.69,,DDoS,Known Pattern A,Logged,Low,Eshani Butala,Opera/8.71.(X11; Linux x86_64; tt-RU) Presto/2.9.181 Version/10.00,Segment B,"Coimbatore, Telangana",139.131.158.44,Log Data,,Firewall,Source IP Address (RBL)
200,2021-10-22 15:43:07,166.253.212.92,87.142.87.242,30658,5272,UDP,670,Control,DNS,Occaecati fuga sapiente aliquam molestiae voluptatum sequi. Minima consequuntur optio ab corporis deleniti.,,73.58,,Malware,Known Pattern A,Logged,Medium,Ryan Raju,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.0; Trident/3.1),Segment C,"Kota, Punjab",53.94.235.147,Log Data,,Firewall,Device Information (Suspect Bot)
203,2020-06-10 03:22:14,190.80.20.82,6.201.62.32,13125,15039,UDP,969,Control,FTP,Rem harum vero aut dolor. Molestias veritatis sed corrupti maiores quae. Sequi hic praesentium magnam sit labore.,IoC Detected,48.49,,Intrusion,Known Pattern B,Logged,Low,Mannat Wadhwa,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/5.1),Segment C,"Bahraich, Andhra Pradesh",,,,Server,"Source IP Address (RBL), Destination IP Address (RBL)"
218,2022-12-18 03:43:19,220.84.129.101,54.121.189.29,48806,52016,UDP,840,Control,FTP,Illum corporis nostrum molestias fugit delectus. Alias ea laboriosam alias aliquid voluptates nihil doloremque.,,38.2,Alert Triggered,Intrusion,Known Pattern B,Blocked,Medium,Ehsaan Sahni,Mozilla/5.0 (compatible; MSIE 5.0; Windows 95; Trident/5.0),Segment B,"Raipur, Chhattisgarh",,,,Firewall,Device Information (Suspect Bot)
221,2020-12-29 17:14:51,162.53.253.196,160.198.87.152,32012,18739,UDP,798,Control,HTTP,Libero rerum fugit recusandae voluptate. Alias impedit numquam iste nam eos nihil error. Magni corrupti illum est vel accusamus.,,53.56,Alert Triggered,Malware,Known Pattern B,Ignored,Low,Indrans Soni,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.01; Trident/3.1),Segment B,"Bangalore, Punjab",122.75.105.55,Log Data,Alert Data,Server,Device Information (Suspect Bot)
224,2022-09-22 07:08:08,24.41.84.96,139.198.241.166,23834,31798,TCP,195,Data,FTP,Iste voluptatum explicabo pariatur itaque eveniet placeat. Iusto ullam autem eaque illum facilis molestias.,IoC Detected,96.27,Alert Triggered,DDoS,Known Pattern B,Logged,High,Aayush Chawla,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 10.0; Trident/3.0),Segment C,"Mirzapur, Gujarat",143.18.223.80,,,Server,Device Information (Suspect Bot)
232,2021-07-26 07:56:45,137.146.249.82,16.8.182.134,4779,28052,ICMP,1481,Control,HTTP,Ipsam sunt voluptatem voluptates aspernatur quibusdam numquam numquam. Laudantium velit quo deserunt dignissimos id laborum. Veniam dolore deleniti.,,84.48,,Intrusion,Known Pattern A,Logged,High,Ishita Badal,Opera/8.15.(Windows NT 6.1; sd-PK) Presto/2.9.171 Version/12.00,Segment B,"Siliguri, Mizoram",,,Alert Data,Firewall,Destination IP Address (RBL)
234,2023-03-01 19:55:09,78.66.75.116,14.111.213.104,3307,61720,ICMP,382,Data,HTTP,Officia minima voluptates perspiciatis enim saepe. Quibusdam ipsum possimus quisquam dolores numquam itaque.,IoC Detected,54.7,,Malware,Known Pattern B,Logged,Medium,Nitara Bal,Opera/9.18.(X11; Linux x86_64; bo-CN) Presto/2.9.180 Version/12.00,Segment B,"Pondicherry, Manipur",170.132.125.196,,,Firewall,Destination IP Address (RBL)
242,2020-09-24 08:13:32,147.249.170.177,88.188.182.204,43345,13162,UDP,924,Data,FTP,Optio repellat odio libero corrupti commodi minus. Non quo dolorum voluptate. Voluptate quaerat architecto consequatur delectus porro repellendus.,,41.48,Alert Triggered,Malware,Known Pattern A,Logged,High,Vritika Bhattacharyya,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.0; Trident/5.1),Segment A,"Ajmer, Arunachal Pradesh",103.252.23.150,Log Data,,Server,Device Information (Suspect Bot)
250,2022-12-25 02:13:51,43.143.16.86,57.16.71.161,51197,25367,TCP,899,Control,HTTP,Placeat tempora nemo est. Sequi repellat esse. Maiores quas ipsum debitis dolore culpa. Aut est doloremque consequatur voluptate quae. Exercitationem placeat minus necessitatibus.,,62.22,,Intrusion,Known Pattern A,Logged,Medium,Sana Kohli,"Mozilla/5.0 (iPad; CPU iPad OS 9_3_5 like Mac OS X) AppleWebKit/535.1 (KHTML, like Gecko) CriOS/40.0.821.0 Mobile/06M998 Safari/535.1",Segment B,"Indore, Arunachal Pradesh",,Log Data,,Server,Destination IP Address (RBL)
260,2021-08-10 10:41:48,92.119.40.202,157.48.240.41,9371,1702,TCP,861,Control,HTTP,Maiores totam amet ea cupiditate officia ad. Aliquam ipsum nobis doloribus minima nemo. Assumenda quam quia commodi qui. Hic beatae a sint esse. Ad vel dicta modi.,,45.55,,DDoS,Known Pattern B,Ignored,Medium,Indrajit Kohli,Mozilla/5.0 (compatible; MSIE 5.0; Windows 95; Trident/3.1),Segment A,"Pudukkottai, Andhra Pradesh",,Log Data,,Firewall,Device Information (Suspect Bot)
261,2023-07-28 06:33:58,172.46.157.69,163.160.108.182,52748,63070,ICMP,1443,Data,HTTP,Nostrum nisi cum ex. Illo molestiae accusamus voluptate similique cum at labore.,IoC Detected,8.69,Alert Triggered,DDoS,Known Pattern B,Logged,Low,Gokul Thakkar,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.1; Trident/3.0),Segment C,"Bidar, Goa",,,Alert Data,Server,"Source IP Address (RBL), Destination IP Address (RBL), Device Information (Suspect Bot)"
264,2023-02-09 20:00:15,195.99.103.54,48.184.91.183,51126,19648,ICMP,1419,Control,FTP,Reiciendis maiores qui blanditiis cupiditate. Deserunt architecto dolorum hic est.,,29.27,Alert Triggered,Intrusion,Known Pattern A,Ignored,High,Anahi Choudhry,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.0; Trident/3.0),Segment B,"Ghaziabad, Haryana",,,Alert Data,Firewall,Device Information (Suspect Bot)
290,2023-03-19 13:04:03,173.157.55.33,102.245.0.156,44284,9549,TCP,1343,Data,DNS,Id iure ab asperiores nisi. Error nisi beatae delectus. Beatae neque iure labore. Expedita quis quia officiis. Eius molestias incidunt debitis nisi modi ut.,,25.5,,DDoS,Known Pattern A,Logged,Low,Prisha Sinha,Opera/8.35.(X11; Linux i686; lb-LU) Presto/2.9.183 Version/10.00,Segment B,"Thoothukudi, Gujarat",160.69.6.182,,Alert Data,Server,Source IP Address (RBL)
299,2022-12-18 08:34:14,32.200.204.179,150.222.191.107,16124,14481,TCP,670,Control,FTP,Neque perferendis iure libero. Deserunt ipsa quam aut animi. Eius sed amet repudiandae nesciunt laboriosam quis. Aut quibusdam incidunt ducimus. Quae veritatis soluta repellat fugit corrupti iste.,IoC Detected,79.44,,Intrusion,Known Pattern A,Ignored,Low,Tejas Sane,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_0) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/23.0.818.0 Safari/532.2",Segment B,"Pudukkottai, Sikkim",35.105.26.135,Log Data,,Firewall,Source IP Address (RBL)
306,2021-02-07 19:45:48,30.100.17.89,3.104.11.98,26202,31829,ICMP,125,Control,FTP,Nemo nam veniam iste quae. Illo nisi amet reprehenderit voluptatem id. Fugit quod atque quidem amet cum maiores recusandae. Vero saepe corrupti quos.,,52.09,,Intrusion,Known Pattern A,Blocked,Low,Kabir Saraf,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 4.0; Trident/3.1),Segment B,"Kozhikode, Telangana",,,Alert Data,Firewall,Device Information (Suspect Bot)
327,2022-07-06 10:51:24,179.98.199.124,168.204.43.159,31007,11764,TCP,643,Data,HTTP,Vel libero eveniet architecto animi. Quos repellendus quidem asperiores dolorem possimus minus. Alias dicta at totam voluptatibus aperiam dolores consequatur.,IoC Detected,34.56,,Malware,Known Pattern B,Blocked,Low,Adah Mangat,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Trident/5.0),Segment B,"Gangtok, Manipur",137.0.125.139,,,Server,Device Information (Suspect Bot)
366,2021-09-02 19:13:42,112.50.209.131,99.93.133.112,7011,52447,ICMP,1078,Data,DNS,Facere nostrum exercitationem pariatur. Occaecati aliquam similique deserunt ex aspernatur laboriosam. Nulla eaque facilis. Libero neque atque optio placeat modi.,,58.78,,DDoS,Known Pattern A,Blocked,Low,Kismat Gole,Opera/8.42.(Windows NT 5.1; ia-FR) Presto/2.9.160 Version/12.00,Segment B,"Firozabad, Goa",147.253.118.224,,Alert Data,Server,Destination IP Address (RBL)
384,2022-09-29 09:42:56,192.65.50.115,55.189.227.250,57815,36363,ICMP,1443,Data,FTP,Eveniet deleniti qui quia facere molestias totam recusandae. Pariatur pariatur placeat cupiditate. Quo minima corrupti reprehenderit. Adipisci vero soluta pariatur eligendi perspiciatis.,,15.59,Alert Triggered,Intrusion,Known Pattern A,Blocked,Low,Pihu Sagar,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Trident/4.0),Segment C,"Visakhapatnam, Mizoram",,Log Data,,Firewall,Device Information (Suspect Bot)
410,2021-11-25 07:29:12,67.230.6.222,35.221.94.68,44114,18058,TCP,382,Control,HTTP,Officia officiis veniam nemo quasi commodi nihil. Eius deleniti laudantium veritatis autem iste ducimus. Voluptates voluptatum voluptatibus eveniet.,,84.06,Alert Triggered,DDoS,Known Pattern B,Logged,High,Amira Aggarwal,"Mozilla/5.0 (iPad; CPU iPad OS 9_3_5 like Mac OS X) AppleWebKit/534.0 (KHTML, like Gecko) CriOS/63.0.898.0 Mobile/73Q060 Safari/534.0",Segment B,"Mehsana, Himachal Pradesh",32.255.145.173,Log Data,,Firewall,Source IP Address (RBL)
419,2021-10-10 03:38:45,45.55.238.33,65.15.30.117,14804,17568,ICMP,1054,Control,DNS,Numquam ducimus reiciendis. Quis nihil ipsum assumenda recusandae enim asperiores. Dolor eaque minus voluptates voluptatem nemo.,IoC Detected,90.29,,Intrusion,Known Pattern A,Logged,High,Raunak Wagle,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.0; Trident/5.0),Segment C,"Danapur, Uttarakhand",,Log Data,,Firewall,Device Information (Suspect Bot)
423,2020-12-31 05:19:34,195.150.165.7,146.170.108.246,13097,52183,UDP,467,Data,FTP,Quos sint temporibus culpa. Reprehenderit ex nam debitis qui omnis atque. Earum aliquam corrupti. Alias voluptas earum.,IoC Detected,84.23,,Intrusion,Known Pattern A,Blocked,Medium,Manikya Bhat,Mozilla/5.0 (Android 4.4.2; Mobile; rv:8.0) Gecko/8.0 Firefox/8.0,Segment A,"Thrissur, Nagaland",,Log Data,Alert Data,Server,Source IP Address (RBL)
426,2021-02-08 21:42:29,115.40.48.16,46.233.7.44,54740,64496,UDP,816,Data,HTTP,Quaerat repudiandae deleniti repudiandae. Atque ipsa beatae perspiciatis. Maxime modi aperiam molestiae reprehenderit. Optio natus possimus minima quis dolore.,IoC Detected,54.59,Alert Triggered,DDoS,Known Pattern A,Blocked,Medium,Pihu Chaudhary,"Mozilla/5.0 (Windows NT 5.2) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/42.0.889.0 Safari/534.0",Segment B,"Guntur, Meghalaya",196.254.75.93,Log Data,Alert Data,Server,Source IP Address (RBL)
446,2023-07-11 19:12:46,223.200.218.182,143.195.19.144,1757,10495,TCP,605,Control,HTTP,Laboriosam repellat ab maiores neque. At porro cumque praesentium quia numquam voluptates. Odio nam nemo dolorem. Magnam aspernatur vero quod. Autem porro ratione veritatis.,,2.14,Alert Triggered,Intrusion,Known Pattern A,Logged,Low,Vanya Varty,Mozilla/5.0 (Android 2.2.2; Mobile; rv:24.0) Gecko/24.0 Firefox/24.0,Segment C,"Ambarnath, Telangana",72.156.203.57,,,Server,Destination IP Address (RBL)
461,2023-04-11 05:39:49,166.155.67.202,150.201.141.114,2126,4553,ICMP,1114,Data,DNS,Natus nobis repudiandae optio atque. Tenetur harum ducimus repudiandae voluptatibus velit. Quisquam doloremque facilis aliquid quos.,,89.29,,DDoS,Known Pattern B,Logged,High,Krish Ganesan,"Mozilla/5.0 (Windows; U; Windows NT 10.0) AppleWebKit/532.46.1 (KHTML, like Gecko) Version/4.0.3 Safari/532.46.1",Segment C,"Mehsana, Bihar",,Log Data,Alert Data,Firewall,Destination IP Address (RBL)
465,2021-08-16 21:01:35,96.196.44.175,176.80.253.124,35923,40031,TCP,690,Data,DNS,Laboriosam fugiat tempore nesciunt earum culpa odit tempore. Odio nobis illo fuga neque. Similique commodi totam debitis rerum accusamus quidem cum.,IoC Detected,12.47,,DDoS,Known Pattern B,Blocked,Medium,Hiran Garde,"Mozilla/5.0 (Windows; U; Windows 95) AppleWebKit/535.38.2 (KHTML, like Gecko) Version/4.0.3 Safari/535.38.2",Segment C,"Sikar, Bihar",49.13.226.62,Log Data,Alert Data,Firewall,Destination IP Address (RBL)
466,2020-02-02 18:34:55,160.150.200.84,43.9.76.197,15019,7092,ICMP,1080,Data,DNS,Enim eos modi nostrum ab temporibus suscipit dolore. Consectetur repellat culpa repellat magnam soluta. Quos cupiditate voluptatibus illum quod.,IoC Detected,86.9,,Malware,Known Pattern A,Blocked,High,Hazel Warrior,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 4.0; Trident/5.0),Segment C,"Miryalaguda, Karnataka",,,Alert Data,Server,Device Information (Suspect Bot)
486,2020-06-15 22:05:31,94.97.0.73,220.207.161.140,12031,24972,ICMP,829,Control,FTP,Odio architecto architecto quibusdam rerum repellat. Sint impedit non.,,65.78,,DDoS,Known Pattern A,Logged,Low,Uthkarsh Som,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/3875-12-30 14:34:41 Firefox/3.6.15,Segment A,"New Delhi, Meghalaya",,,Alert Data,Firewall,Source IP Address (RBL)
503,2021-07-14 12:57:52,78.186.116.10,23.88.200.137,6663,48618,TCP,675,Data,HTTP,Illum perspiciatis eos harum omnis maiores fuga. Dolorem fuga hic harum. Nam ratione nulla nesciunt provident voluptatem dolore.,IoC Detected,70.3,Alert Triggered,Intrusion,Known Pattern B,Ignored,Medium,Ira Gokhale,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.01; Trident/5.0),Segment C,"Ranchi, Manipur",,Log Data,,Firewall,Source IP Address (RBL)
517,2021-08-13 15:18:37,122.137.216.35,178.109.221.98,10668,46538,ICMP,828,Control,HTTP,Amet reprehenderit suscipit voluptates debitis ea. Quisquam saepe magnam facilis. Minima aliquid temporibus quo. Minus deleniti at saepe exercitationem.,,49.62,Alert Triggered,DDoS,Known Pattern A,Logged,Low,Ranbir Bali,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.2; Trident/4.0),Segment B,"Satna, Maharashtra",,Log Data,Alert Data,Server,Source IP Address (RBL)
518,2020-04-14 21:57:07,99.138.222.24,75.159.76.209,61354,25364,TCP,683,Control,HTTP,Ipsam nisi quo minima aperiam sapiente. Ratione voluptatibus totam enim neque dolores odio.,,48.54,,Intrusion,Known Pattern A,Blocked,High,Hiran Sunder,Mozilla/5.0 (compatible; MSIE 5.0; Windows 95; Trident/3.0),Segment C,"Alwar, Rajasthan",181.36.220.188,,,Server,Device Information (Suspect Bot)
534,2022-05-03 23:25:01,43.105.168.19,75.50.4.232,52436,65460,ICMP,651,Control,HTTP,Itaque tempora nulla sunt. Minus at incidunt sint et quas. Dolores sed quasi. Sint fugiat aperiam explicabo at. Possimus adipisci mollitia quaerat. Quis magni similique.,IoC Detected,36.53,Alert Triggered,Intrusion,Known Pattern A,Ignored,Low,Nakul Krishna,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.2; Trident/3.0),Segment B,"Mahbubnagar, Uttarakhand",217.79.221.211,,Alert Data,Server,Device Information (Suspect Bot)
545,2020-01-24 21:05:31,164.33.61.46,171.69.245.98,25469,57209,ICMP,245,Control,HTTP,Dolore aliquam placeat. Veniam vitae quaerat rem autem asperiores. Amet molestiae vitae impedit eius.,IoC Detected,18.64,Alert Triggered,Malware,Known Pattern A,Ignored,High,Gokul Ahluwalia,Mozilla/5.0 (compatible; MSIE 5.0; Windows 95; Trident/5.1),Segment B,"Tiruppur, Bihar",,Log Data,,Server,Device Information (Suspect Bot)
548,2023-07-27 20:47:42,211.185.233.234,41.122.75.150,28333,53321,ICMP,1039,Data,HTTP,Quae soluta pariatur doloribus minus beatae aliquam. Nisi totam fugiat officiis nemo in aliquid voluptatem.,,54.88,Alert Triggered,Malware,Known Pattern A,Logged,Low,Pranay Dara,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/48.0.827.0 Safari/533.0",Segment B,"Aligarh, Telangana",7.227.80.16,Log Data,Alert Data,Server,Destination IP Address (RBL)
